Name,Age,WhatsApp,Instagram,Snapchat,TikTok,WeChat,Twitter,Facebook,LinkedIn,Telegram,BeReal,Messages,TotalSocialMediaScreenTime,Number.of.times.opened..hourly.intervals.,SocialMediaAddiction
Student_6,18,110,160,86,103,82,55,73,56,44,24,145,938,35,Addicted
Student_121,20,18,52,27,59,8,13,4,2,21,7,47,258,6,Not Addicted
Student_176,20,38,31,34,41,26,28,28,6,12,1,43,288,44,Not Addicted
Student_108,22,59,16,3,44,15,23,5,11,3,4,21,204,41,Not Addicted
Student_20,19,219,127,98,172,76,61,92,36,87,24,82,1074,46,Addicted
Student_14,20,220,86,91,163,83,30,92,55,45,15,85,965,58,Addicted
Student_184,22,64,11,16,43,13,10,32,7,7,8,37,248,25,Not Addicted
Student_90,22,53,40,29,36,22,13,17,11,8,8,47,284,43,Not Addicted
Student_200,22,38,21,10,48,29,24,28,6,29,8,16,257,40,Not Addicted
Student_144,23,44,30,36,46,12,25,33,5,19,1,14,265,38,Not Addicted
Student_158,21,32,57,28,42,3,2,28,15,25,1,53,286,20,Not Addicted
Student_9,20,164,114,96,192,61,82,84,19,83,23,87,1005,46,Addicted
Student_61,21,235,138,70,177,71,59,58,37,82,27,80,1034,39,Addicted
Student_83,18,71,16,21,20,29,19,33,1,15,6,50,281,39,Not Addicted
Student_147,25,35,58,30,21,4,25,5,0,27,8,46,259,56,Not Addicted
Student_72,24,213,123,107,98,76,39,106,30,61,22,90,965,39,Addicted
Student_114,20,11,37,31,16,21,28,32,14,22,3,34,249,37,Not Addicted
Student_74,18,104,109,128,114,69,48,102,30,68,24,95,891,11,Addicted
Student_4,22,196,142,62,199,53,87,51,20,78,26,106,1020,43,Addicted
Student_140,22,20,5,13,34,23,9,26,17,20,2,38,207,6,Not Addicted
Student_155,18,41,25,18,18,14,22,14,11,18,3,15,199,35,Not Addicted
Student_118,24,74,16,33,57,14,5,26,6,5,4,58,298,8,Not Addicted
Student_86,22,17,31,6,40,18,29,37,19,25,1,43,266,22,Not Addicted
Student_1,18,192,80,60,99,75,85,53,32,86,10,67,839,35,Addicted
Student_35,19,110,80,91,100,53,41,85,54,98,26,76,814,46,Addicted
Student_127,19,78,53,2,35,22,24,38,16,27,8,23,326,12,Not Addicted
Student_186,24,77,10,13,29,28,23,14,2,15,0,17,228,10,Not Addicted
Student_125,19,44,12,7,50,17,12,31,13,26,1,17,230,36,Not Addicted
Student_115,23,22,51,9,25,25,4,12,13,18,8,42,229,10,Not Addicted
Student_45,23,219,156,75,155,45,34,111,35,47,20,67,964,28,Addicted
Student_134,24,10,18,27,10,17,28,28,1,14,5,35,193,7,Not Addicted
Student_107,19,15,47,37,11,9,24,32,14,13,0,10,212,44,Not Addicted
Student_57,19,143,115,92,133,87,50,98,48,35,27,129,957,54,Addicted
Student_124,19,47,41,28,0,7,29,9,14,8,3,44,230,31,Not Addicted
Student_116,19,49,44,9,20,6,10,24,17,11,4,58,252,45,Not Addicted
Student_63,25,103,107,109,109,44,52,101,34,82,15,129,885,38,Addicted
Student_19,21,127,112,71,104,61,63,89,59,37,27,62,812,49,Addicted
Student_3,19,104,167,121,133,66,57,73,52,76,14,138,1001,14,Addicted
Student_33,24,140,157,91,112,79,84,107,16,64,26,103,979,14,Addicted
Student_37,19,107,169,114,99,89,45,85,45,54,14,143,964,28,Addicted
Student_56,20,223,108,111,130,51,77,68,50,84,12,118,1032,59,Addicted
Student_99,25,10,44,39,20,11,15,31,0,11,3,54,238,30,Not Addicted
Student_24,23,178,116,118,145,31,69,61,46,70,15,123,972,26,Addicted
Student_167,24,60,29,22,52,9,17,11,0,6,5,34,245,12,Not Addicted
